id,full_name,age,occupation,lga,ward,street,declared_income,property_value,business_owner,sector,compliance_score,created_at
7206,Charles Walker,29,Purchasing manager,Ikeja,Ward 5 Ikeja,Street 6 Ward 5 Ikeja,2928010.0,8822510.86,False,Finance,56.61,2022-01-08
7207,Carrie Castillo,59,Environmental health practitioner,Ikeja,Ward 4 Ikeja,Street 10 Ward 4 Ikeja,7624800.0,12685219.08,True,Tech,49.68,2021-12-13
7208,Mary Reynolds,48,"Solicitor, Scotland",Amuwo-Odofin,Ward 1 Amuwo-Odofin,Street 5 Ward 1 Amuwo-Odofin,2333275.5,7748189.96,True,Tech,56.88,2025-02-06
7209,James Gomez,45,Emergency planning/management officer,Agege,Ward 2 Agege,Street 7 Ward 2 Agege,2026180.0,3404474.62,True,Real Estate,94.7,2024-07-04
7210,Christina Young MD,36,Advice worker,Agege,Ward 5 Agege,Street 7 Ward 5 Agege,4626712.0,11591518.46,True,Real Estate,65.38,2021-08-15
7211,Joy Cantu,26,Educational psychologist,Ikorodu,Ward 1 Ikorodu,Street 4 Ward 1 Ikorodu,3237306.0,5687001.08,True,Manufacturing,49.43,2021-12-19
7212,Mary Jones,46,Nature conservation officer,Eti-Osa,Ward 3 Eti-Osa,Street 2 Ward 3 Eti-Osa,699954.0,2242666.39,True,Retail,83.25,2023-11-24
7213,Thomas Moore,60,Learning disability nurse,Ajah,Ward 1 Ajah,Street 9 Ward 1 Ajah,2999959.5,6716561.89,True,Transport,56.88,2022-09-24
7214,Heather Brock,27,Dancer,Oshodi-Isolo,Ward 3 Oshodi-Isolo,Street 3 Ward 3 Oshodi-Isolo,2084587.5,5524691.33,True,Tech,77.49,2025-08-05
7215,Susan Smith,25,"Engineer, site",Lekki,Ward 5 Lekki,Street 10 Ward 5 Lekki,18767228.0,43159351.4,True,Retail,84.05,2020-04-26
7216,Dr. Dennis Patterson,56,Photographer,Surulere,Ward 5 Surulere,Street 1 Ward 5 Surulere,839678.0,2810669.13,True,Real Estate,57.14,2022-03-27
7217,Lori Sanchez,44,Banker,Somolu,Ward 3 Somolu,Street 10 Ward 3 Somolu,5817928.5,10482988.59,False,Transport,50.17,2022-09-05
7218,Steve Ali,39,Market researcher,Shomolu,Ward 2 Shomolu,Street 8 Ward 2 Shomolu,5968350.0,14399171.64,True,Manufacturing,68.57,2020-06-17
7219,Kevin Romero,30,Archivist,Kosofe,Ward 1 Kosofe,Street 9 Ward 1 Kosofe,1045293.0,4043591.4,True,Transport,47.51,2020-02-19
7220,Angela Walker,62,Naval architect,Yaba,Ward 1 Yaba,Street 1 Ward 1 Yaba,7428372.0,13881700.9,False,Finance,87.52,2020-07-24
7221,Randy Pittman,62,Ranger/warden,Surulere,Ward 4 Surulere,Street 8 Ward 4 Surulere,1197426.0,3502418.62,False,Finance,86.32,2024-03-04
7222,Melanie Lopez,57,Sales executive,Alimosho,Ward 2 Alimosho,Street 5 Ward 2 Alimosho,2040584.0,3570979.75,True,Finance,41.42,2024-11-26
7223,Whitney Smith,42,Adult nurse,Yaba,Ward 3 Yaba,Street 8 Ward 3 Yaba,8099096.0,23565464.23,True,Finance,97.48,2023-03-31
7224,Penny Carpenter,54,Insurance underwriter,Surulere,Ward 1 Surulere,Street 2 Ward 1 Surulere,717790.0,1280979.08,False,Retail,80.91,2022-10-28
7225,Jennifer Pugh,43,"Therapist, nutritional",Epe,Ward 1 Epe,Street 5 Ward 1 Epe,1240903.5,3649673.58,False,Retail,85.27,2024-02-20
7226,Dr. Albert Henry DDS,37,Forensic psychologist,Somolu,Ward 1 Somolu,Street 1 Ward 1 Somolu,2132544.0,4531348.49,True,Retail,67.63,2025-12-06
7227,Robin Brennan,30,Lawyer,Apapa,Ward 4 Apapa,Street 6 Ward 4 Apapa,7252986.0,15974811.82,True,Manufacturing,57.77,2024-03-24
7228,Scott Robinson,31,"Scientist, forensic",Kosofe,Ward 3 Kosofe,Street 5 Ward 3 Kosofe,3886774.5,10885290.26,False,Manufacturing,55.02,2022-05-08
7229,Jacqueline Cline,22,TEFL teacher,Ajah,Ward 1 Ajah,Street 8 Ward 1 Ajah,4998070.5,13934924.52,False,Tech,62.42,2021-07-01
7230,Martin Jordan,57,"Therapist, sports",Victoria Island,Ward 5 Victoria Island,Street 5 Ward 5 Victoria Island,2207080.0,5038322.68,True,Finance,50.17,2025-11-16
7231,Natasha Davis,39,IT technical support officer,Lekki,Ward 1 Lekki,Street 7 Ward 1 Lekki,10130412.0,36356451.53,False,Real Estate,55.92,2025-07-28
7232,Ana Bell,57,"Lecturer, higher education",Ikorodu,Ward 2 Ikorodu,Street 6 Ward 2 Ikorodu,2970909.0,8128827.75,True,Tech,46.54,2023-02-15
7233,Henry Leonard,64,Publishing rights manager,Ikorodu,Ward 1 Ikorodu,Street 9 Ward 1 Ikorodu,2228579.0,6726942.47,True,Tech,91.28,2023-04-22
7234,Susan Mayo,47,Cabin crew,Ifako-Ijaiye,Ward 5 Ifako-Ijaiye,Street 8 Ward 5 Ifako-Ijaiye,2375419.5,6409579.63,True,Finance,40.8,2024-10-27
7235,Michael Knight,64,"Surveyor, hydrographic",Mushin,Ward 5 Mushin,Street 2 Ward 5 Mushin,6597079.5,19103200.78,False,Finance,98.09,2024-03-17
7236,Stephen Glenn,55,"Teacher, special educational needs",Epe,Ward 5 Epe,Street 6 Ward 5 Epe,1868781.0,6081266.23,False,Transport,59.93,2022-07-21
7237,Brittany Taylor,70,Computer games developer,Ajah,Ward 4 Ajah,Street 3 Ward 4 Ajah,3912441.0,12887099.9,False,Hospitality,59.13,2022-01-02
7238,Jennifer Wilson,24,"Psychologist, clinical",Amuwo-Odofin,Ward 2 Amuwo-Odofin,Street 1 Ward 2 Amuwo-Odofin,6955966.5,20445947.62,False,Retail,81.85,2023-05-06
7239,Stephanie Harmon,51,Tree surgeon,Victoria Island,Ward 1 Victoria Island,Street 3 Ward 1 Victoria Island,4463508.0,11673135.35,False,Real Estate,45.74,2021-10-27
7240,John Davis,37,"Scientist, research (life sciences)",Mushin,Ward 3 Mushin,Street 8 Ward 3 Mushin,2898582.0,5398087.34,True,Transport,72.21,2024-03-12
7241,Ashley Fox,55,Hotel manager,Apapa,Ward 3 Apapa,Street 6 Ward 3 Apapa,4329220.5,7291256.03,False,Retail,74.62,2021-06-13
7242,Jeffrey Warren,33,Mudlogger,Ikeja,Ward 3 Ikeja,Street 10 Ward 3 Ikeja,10792837.5,21063664.19,False,Real Estate,81.26,2022-03-11
7243,Patricia Park,31,"Solicitor, Scotland",Lekki,Ward 4 Lekki,Street 4 Ward 4 Lekki,2851172.0,8071435.72,True,Real Estate,76.64,2024-08-06
7244,Donald Sanchez,67,"Accountant, chartered certified",Badagry,Ward 3 Badagry,Street 6 Ward 3 Badagry,2555860.5,9527148.68,False,Hospitality,88.22,2023-11-29
7245,Adam Wilson,31,"Designer, blown glass/stained glass",Shomolu,Ward 1 Shomolu,Street 7 Ward 1 Shomolu,2509270.5,4012359.59,False,Manufacturing,53.54,2024-08-29
7246,Lisa Martin,36,Insurance account manager,Ikorodu,Ward 1 Ikorodu,Street 4 Ward 1 Ikorodu,4468481.0,14606461.16,True,Retail,61.11,2025-10-14
7247,Mackenzie Edwards,53,"Pharmacist, community",Alimosho,Ward 3 Alimosho,Street 2 Ward 3 Alimosho,3838430.0,13660376.0,True,Real Estate,98.77,2022-06-04
7248,Zachary Brown,69,"Clinical scientist, histocompatibility and immunogenetics",Lekki,Ward 4 Lekki,Street 10 Ward 4 Lekki,16555228.0,49071461.96,True,Manufacturing,55.33,2022-10-04
7249,Chad Richards,41,"Conservator, museum/gallery",Ajah,Ward 1 Ajah,Street 6 Ward 1 Ajah,1667269.5,6268753.41,True,Hospitality,54.15,2022-04-30
7250,Carolyn Arias,40,Air broker,Apapa,Ward 2 Apapa,Street 1 Ward 2 Apapa,818208.0,1653354.19,False,Real Estate,52.39,2025-01-09
7251,Dr. Lisa Liu,42,Manufacturing engineer,Oshodi-Isolo,Ward 5 Oshodi-Isolo,Street 9 Ward 5 Oshodi-Isolo,4547260.5,15187233.45,False,Transport,77.53,2021-07-18
7252,Craig Burke,59,Wellsite geologist,Oshodi-Isolo,Ward 3 Oshodi-Isolo,Street 3 Ward 3 Oshodi-Isolo,5117053.5,20142421.81,True,Manufacturing,66.37,2021-06-13
7253,Anne Rosario,31,Health promotion specialist,Oshodi-Isolo,Ward 2 Oshodi-Isolo,Street 2 Ward 2 Oshodi-Isolo,3957529.5,14063800.38,False,Transport,64.09,2024-08-06
7254,John Black,67,Quarry manager,Yaba,Ward 2 Yaba,Street 3 Ward 2 Yaba,3841006.0,7391112.65,True,Hospitality,87.86,2023-11-19
7255,Christine Diaz,55,Media buyer,Epe,Ward 4 Epe,Street 6 Ward 4 Epe,2749747.5,7045584.92,True,Real Estate,59.01,2020-11-10
7256,Douglas Tran,55,"Education officer, environmental",Ikeja,Ward 4 Ikeja,Street 1 Ward 4 Ikeja,6738255.0,16343140.88,True,Retail,96.16,2022-01-19
7257,John Chapman,68,Administrator,Shomolu,Ward 3 Shomolu,Street 10 Ward 3 Shomolu,5697931.5,16295059.01,True,Manufacturing,50.46,2025-07-05
7258,Deborah Harris,40,"Engineer, civil (contracting)",Victoria Island,Ward 1 Victoria Island,Street 3 Ward 1 Victoria Island,9947500.0,32782451.42,False,Real Estate,95.64,2025-08-20
7259,John Turner,69,Cytogeneticist,Badagry,Ward 1 Badagry,Street 9 Ward 1 Badagry,891898.5,3303277.95,True,Tech,77.56,2020-08-05
7260,James Taylor,35,"Research officer, government",Yaba,Ward 2 Yaba,Street 2 Ward 2 Yaba,1710622.0,6451894.54,True,Real Estate,79.96,2023-03-20
7261,Jacqueline Hicks,45,Rural practice surveyor,Agege,Ward 4 Agege,Street 9 Ward 4 Agege,227543.0,406742.73,False,Retail,91.32,2025-10-19
7262,Peter Mitchell,37,Speech and language therapist,Oshodi-Isolo,Ward 4 Oshodi-Isolo,Street 10 Ward 4 Oshodi-Isolo,5017995.0,8902282.0,False,Tech,78.39,2021-05-17
7263,John Armstrong,25,Data processing manager,Amuwo-Odofin,Ward 1 Amuwo-Odofin,Street 8 Ward 1 Amuwo-Odofin,5956032.0,13048146.65,True,Transport,78.81,2024-02-03
7264,Kimberly Faulkner,34,Leisure centre manager,Mushin,Ward 1 Mushin,Street 7 Ward 1 Mushin,5164284.0,20297400.75,True,Hospitality,57.93,2023-05-07
7265,Martha Orozco,49,Arts administrator,Agege,Ward 1 Agege,Street 7 Ward 1 Agege,2812321.0,10854305.64,False,Finance,60.05,2023-09-02
7266,Michael Lopez,36,"Scientist, water quality",Mushin,Ward 5 Mushin,Street 8 Ward 5 Mushin,2648436.0,9734036.16,False,Real Estate,51.85,2026-02-24
7267,Jaclyn Davis,31,TEFL teacher,Ajah,Ward 4 Ajah,Street 1 Ward 4 Ajah,3733063.5,8822060.95,False,Tech,93.15,2021-08-27
7268,Margaret Hernandez,23,Photographer,Oshodi-Isolo,Ward 5 Oshodi-Isolo,Street 1 Ward 5 Oshodi-Isolo,5209032.0,13459209.89,False,Tech,86.8,2024-11-30
7269,Jonathan Sexton,30,Event organiser,Epe,Ward 5 Epe,Street 3 Ward 5 Epe,711568.5,2671034.03,True,Transport,88.85,2022-03-10
7270,Lauren Anderson,26,Armed forces technical officer,Ajah,Ward 5 Ajah,Street 3 Ward 5 Ajah,6629956.5,15701812.03,False,Hospitality,66.78,2024-09-19
7271,Tristan Smith,38,Museum education officer,Ikorodu,Ward 2 Ikorodu,Street 6 Ward 2 Ikorodu,456168.0,1412557.65,False,Manufacturing,50.05,2024-10-17
7272,Bryan Moss,52,"Designer, multimedia",Amuwo-Odofin,Ward 3 Amuwo-Odofin,Street 4 Ward 3 Amuwo-Odofin,4211857.5,15902913.6,False,Retail,42.62,2024-04-15
7273,Cheyenne Brown,69,Office manager,Ajah,Ward 4 Ajah,Street 9 Ward 4 Ajah,5530272.0,18271954.26,True,Hospitality,64.15,2022-08-12
7274,Gary Washington,38,"Lecturer, further education",Kosofe,Ward 3 Kosofe,Street 4 Ward 3 Kosofe,7404939.0,12884385.56,False,Tech,99.63,2020-11-22
7275,Marc Stewart,51,Production engineer,Mushin,Ward 5 Mushin,Street 8 Ward 5 Mushin,3159861.0,9428346.51,True,Manufacturing,62.75,2021-09-20
7276,Sabrina Compton,31,"Education officer, community",Apapa,Ward 3 Apapa,Street 6 Ward 3 Apapa,795535.5,2716128.5,True,Manufacturing,78.62,2022-05-04
7277,Tyler Garcia,30,Media planner,Yaba,Ward 3 Yaba,Street 9 Ward 3 Yaba,5453756.0,9097423.58,True,Manufacturing,86.64,2024-12-17
7278,Christine Jackson,30,"Programmer, systems",Epe,Ward 2 Epe,Street 9 Ward 2 Epe,7482004.5,25562986.89,True,Tech,52.07,2025-09-12
7279,Ryan Jones,52,"Lecturer, further education",Kosofe,Ward 4 Kosofe,Street 3 Ward 4 Kosofe,5656644.0,16100585.33,True,Finance,66.51,2023-05-26
7280,Mark Collins,29,Records manager,Apapa,Ward 4 Apapa,Street 9 Ward 4 Apapa,4100014.5,6733874.71,True,Finance,86.96,2023-03-27
7281,Jill Mack,68,Nutritional therapist,Kosofe,Ward 2 Kosofe,Street 3 Ward 2 Kosofe,3471573.0,6041613.42,False,Transport,85.7,2021-09-05
7282,Eric Reyes,44,Insurance broker,Kosofe,Ward 2 Kosofe,Street 8 Ward 2 Kosofe,1866562.5,3998054.17,True,Manufacturing,45.33,2025-01-20
7283,Bryan Villegas,61,Set designer,Amuwo-Odofin,Ward 2 Amuwo-Odofin,Street 4 Ward 2 Amuwo-Odofin,3699279.0,10694590.99,False,Retail,51.78,2025-11-26
7284,Vanessa Lara,25,"Nurse, mental health",Apapa,Ward 4 Apapa,Street 9 Ward 4 Apapa,830107.5,2938387.44,True,Manufacturing,74.85,2021-10-19
7285,Joseph Allen,58,"Psychologist, clinical",Apapa,Ward 2 Apapa,Street 8 Ward 2 Apapa,1115935.5,2509501.61,False,Retail,68.27,2023-01-21
7286,David Frank,40,Company secretary,Agege,Ward 3 Agege,Street 2 Ward 3 Agege,815598.0,2753079.28,True,Retail,40.89,2020-06-29
7287,Patricia Mitchell,58,"Lecturer, higher education",Amuwo-Odofin,Ward 1 Amuwo-Odofin,Street 4 Ward 1 Amuwo-Odofin,2062042.5,4666338.61,False,Tech,83.68,2025-03-22
7288,Derek Rangel,21,Retail merchandiser,Surulere,Ward 1 Surulere,Street 7 Ward 1 Surulere,3692068.0,14259640.17,False,Tech,74.36,2022-04-21
7289,James Hudson,47,Land,Victoria Island,Ward 1 Victoria Island,Street 4 Ward 1 Victoria Island,14372004.0,50482192.69,True,Retail,78.64,2022-06-23
7290,Alejandro Williams,28,Social researcher,Ajah,Ward 4 Ajah,Street 6 Ward 4 Ajah,1836106.5,6221967.21,True,Transport,83.33,2023-03-07
7291,Julia Coleman,46,TEFL teacher,Yaba,Ward 3 Yaba,Street 1 Ward 3 Yaba,7320962.0,26439203.56,True,Transport,67.99,2024-07-03
7292,Monica Graves,22,Jewellery designer,Surulere,Ward 4 Surulere,Street 5 Ward 4 Surulere,7740874.0,18570579.33,False,Retail,49.1,2024-11-01
7293,Chad King,24,"Accountant, chartered certified",Yaba,Ward 2 Yaba,Street 2 Ward 2 Yaba,4536002.0,17959630.19,False,Hospitality,48.27,2021-08-01
7294,Teresa James,70,Operational investment banker,Shomolu,Ward 5 Shomolu,Street 2 Ward 5 Shomolu,1732540.5,6901098.59,True,Retail,91.32,2023-08-13
7295,Tristan Rios,66,Volunteer coordinator,Eti-Osa,Ward 1 Eti-Osa,Street 10 Ward 1 Eti-Osa,2113809.0,7119955.33,False,Manufacturing,66.2,2025-04-09
7296,Jennifer Cooper,22,Equality and diversity officer,Eti-Osa,Ward 3 Eti-Osa,Street 4 Ward 3 Eti-Osa,7936299.0,27347586.86,False,Manufacturing,72.08,2022-04-07
7297,Scott Schultz,22,Exhibition designer,Apapa,Ward 4 Apapa,Street 10 Ward 4 Apapa,4281534.0,7309564.09,True,Tech,47.32,2020-03-19
7298,Sarah Jordan,69,"Administrator, education",Surulere,Ward 4 Surulere,Street 6 Ward 4 Surulere,2096082.0,4912724.42,False,Manufacturing,70.86,2023-04-21
7299,Christopher Oliver,42,Higher education careers adviser,Ikorodu,Ward 1 Ikorodu,Street 6 Ward 1 Ikorodu,4273347.0,9031434.13,True,Finance,78.66,2025-03-20
7300,Frank Moore,54,"Social research officer, government",Yaba,Ward 3 Yaba,Street 7 Ward 3 Yaba,990032.0,3085165.88,False,Finance,92.94,2020-04-11
7301,Christina Carter,29,Astronomer,Yaba,Ward 4 Yaba,Street 10 Ward 4 Yaba,9816652.0,28131356.36,False,Retail,97.6,2021-10-04
7302,John Tran,69,Futures trader,Somolu,Ward 2 Somolu,Street 2 Ward 2 Somolu,3678564.0,7688130.12,False,Retail,89.78,2021-12-29
7303,Heather Rodriguez,43,"Programmer, multimedia",Yaba,Ward 2 Yaba,Street 1 Ward 2 Yaba,1208888.0,4811711.94,True,Transport,49.36,2025-09-16
7304,Ashley Bush,36,Warehouse manager,Apapa,Ward 5 Apapa,Street 8 Ward 5 Apapa,7326808.5,17956677.36,True,Retail,85.49,2022-02-13
7305,Cynthia Peterson,70,Insurance claims handler,Victoria Island,Ward 3 Victoria Island,Street 6 Ward 3 Victoria Island,10829824.0,40560986.25,True,Real Estate,47.05,2023-04-29
7306,Kenneth Bray,22,Phytotherapist,Somolu,Ward 1 Somolu,Street 3 Ward 1 Somolu,3592791.0,10313933.72,False,Tech,93.52,2022-06-16
7307,Jacob Turner,36,Land/geomatics surveyor,Victoria Island,Ward 3 Victoria Island,Street 4 Ward 3 Victoria Island,16913408.0,55213027.31,True,Real Estate,69.99,2025-01-16
7308,Lauren Rollins,70,Careers adviser,Mushin,Ward 2 Mushin,Street 7 Ward 2 Mushin,3186070.5,5609341.22,True,Finance,51.06,2023-04-12
7309,Stephanie Nichols,39,Public relations account executive,Ifako-Ijaiye,Ward 1 Ifako-Ijaiye,Street 6 Ward 1 Ifako-Ijaiye,1949763.0,4194433.11,False,Hospitality,93.92,2023-11-04
7310,Kelsey Cohen,51,"Engineer, building services",Ifako-Ijaiye,Ward 1 Ifako-Ijaiye,Street 6 Ward 1 Ifako-Ijaiye,1214857.5,3496382.43,True,Manufacturing,44.69,2020-08-25
7311,Caroline Brooks,61,Secretary/administrator,Agege,Ward 4 Agege,Street 1 Ward 4 Agege,604540.0,1813958.01,True,Transport,62.97,2021-10-25
7312,Kristy Miller,46,Mudlogger,Lekki,Ward 5 Lekki,Street 7 Ward 5 Lekki,9687628.0,28305422.7,False,Retail,93.74,2022-02-04
7313,Juan Gray,50,Multimedia programmer,Surulere,Ward 2 Surulere,Street 10 Ward 2 Surulere,2913596.0,7703712.19,True,Tech,58.01,2021-10-17
7314,Jennifer Wyatt,53,Merchant navy officer,Apapa,Ward 4 Apapa,Street 2 Ward 4 Apapa,4276330.5,8825076.76,True,Manufacturing,80.72,2023-09-02
7315,Cheryl Jimenez,24,Biomedical scientist,Victoria Island,Ward 4 Victoria Island,Street 2 Ward 4 Victoria Island,1848720.0,4526114.49,False,Transport,49.3,2021-10-16
7316,Allen Diaz,52,Higher education careers adviser,Badagry,Ward 1 Badagry,Street 9 Ward 1 Badagry,7348852.5,13652270.45,True,Tech,85.45,2023-08-08
7317,Heather Morales,58,"Surveyor, mining",Kosofe,Ward 1 Kosofe,Street 1 Ward 1 Kosofe,6112156.5,12424773.1,False,Real Estate,64.1,2022-04-23
7318,David Bowen,35,Printmaker,Somolu,Ward 3 Somolu,Street 3 Ward 3 Somolu,1437541.5,5660128.73,True,Finance,60.61,2025-10-22
7319,Aaron Harris,27,Garment/textile technologist,Amuwo-Odofin,Ward 3 Amuwo-Odofin,Street 2 Ward 3 Amuwo-Odofin,2757051.0,8362422.2,True,Retail,75.2,2025-04-18
7320,Don Mann,46,Insurance broker,Apapa,Ward 4 Apapa,Street 2 Ward 4 Apapa,6116959.5,21542440.14,False,Real Estate,54.29,2020-03-23
7321,Denise Johnson,44,Production manager,Amuwo-Odofin,Ward 4 Amuwo-Odofin,Street 4 Ward 4 Amuwo-Odofin,2144697.0,8537784.01,False,Finance,58.35,2020-01-27
7322,Cheryl Smith MD,34,Mudlogger,Ikorodu,Ward 2 Ikorodu,Street 2 Ward 2 Ikorodu,242064.0,532518.23,False,Real Estate,94.79,2021-05-02
7323,Martin Dalton II,57,Health and safety inspector,Yaba,Ward 5 Yaba,Street 4 Ward 5 Yaba,6708908.0,16068629.63,True,Manufacturing,85.23,2023-10-06
7324,Rodney Gonzalez,56,Sports therapist,Somolu,Ward 4 Somolu,Street 7 Ward 4 Somolu,4662805.5,13774969.06,False,Real Estate,40.4,2022-02-27
7325,Rebecca Anderson,53,Diplomatic Services operational officer,Ajah,Ward 4 Ajah,Street 3 Ward 4 Ajah,6347773.5,22901480.63,False,Real Estate,43.4,2020-04-10
7326,Robert Williams,33,Air traffic controller,Yaba,Ward 4 Yaba,Street 6 Ward 4 Yaba,6651018.0,23993459.55,True,Transport,77.37,2020-02-16
7327,Tina Quinn,28,Exhibition designer,Lekki,Ward 4 Lekki,Street 4 Ward 4 Lekki,19313152.0,52745353.31,True,Tech,65.65,2020-08-09
7328,Ronald Johnson,23,Field seismologist,Badagry,Ward 1 Badagry,Street 7 Ward 1 Badagry,4523251.5,17446961.49,True,Tech,98.4,2020-08-17
7329,Jeffrey Holloway,43,Metallurgist,Yaba,Ward 5 Yaba,Street 2 Ward 5 Yaba,7395370.0,12441691.61,False,Hospitality,84.93,2024-07-27
7330,Amy Hull,39,Chiropodist,Victoria Island,Ward 2 Victoria Island,Street 7 Ward 2 Victoria Island,19827628.0,43607883.92,True,Retail,45.08,2021-09-02
7331,Glenn Duran,31,Medical secretary,Mushin,Ward 4 Mushin,Street 10 Ward 4 Mushin,3130002.0,8093967.95,False,Real Estate,72.84,2022-04-04
7332,Jason Hale,22,Chiropractor,Yaba,Ward 4 Yaba,Street 2 Ward 4 Yaba,8977946.0,35441065.75,True,Finance,61.02,2020-09-01
7333,Todd Singleton,58,"Doctor, general practice",Ajah,Ward 5 Ajah,Street 7 Ward 5 Ajah,5511498.0,12180193.26,False,Hospitality,82.13,2020-10-28
7334,Sherry Gaines,68,Glass blower/designer,Lekki,Ward 4 Lekki,Street 3 Ward 4 Lekki,9764416.0,33768057.84,False,Transport,65.46,2020-07-26
7335,Emily Weber,51,Retail merchandiser,Mushin,Ward 2 Mushin,Street 9 Ward 2 Mushin,5793078.0,12386912.64,False,Transport,45.3,2023-04-27
7336,Timothy Cummings,34,Barista,Kosofe,Ward 2 Kosofe,Street 8 Ward 2 Kosofe,6226513.5,18997153.05,False,Tech,57.2,2023-07-18
7337,April Shelton,37,Environmental health practitioner,Epe,Ward 5 Epe,Street 2 Ward 5 Epe,6002149.5,19189423.18,False,Transport,87.44,2022-09-13
7338,Shaun Estrada,47,Insurance risk surveyor,Mushin,Ward 4 Mushin,Street 9 Ward 4 Mushin,1268646.0,4982331.6,True,Transport,79.23,2024-08-11
7339,Kelly Baker,65,Clinical cytogeneticist,Somolu,Ward 4 Somolu,Street 10 Ward 4 Somolu,4196340.0,8718342.89,True,Real Estate,90.6,2023-08-03
7340,Austin Fisher,43,Osteopath,Badagry,Ward 4 Badagry,Street 8 Ward 4 Badagry,2905642.5,9933394.76,False,Transport,50.61,2020-10-12
7341,Cynthia Howell,54,Lobbyist,Oshodi-Isolo,Ward 5 Oshodi-Isolo,Street 8 Ward 5 Oshodi-Isolo,6483288.0,18296577.35,True,Tech,61.44,2023-08-20
7342,Sarah Perkins,27,Financial adviser,Ikeja,Ward 2 Ikeja,Street 7 Ward 2 Ikeja,11738115.0,32309520.71,False,Retail,75.87,2023-05-13
7343,Rhonda Boyd,62,Ship broker,Oshodi-Isolo,Ward 2 Oshodi-Isolo,Street 4 Ward 2 Oshodi-Isolo,6470059.5,19693366.36,False,Hospitality,54.81,2020-10-24
7344,Jonathan Green,46,Product/process development scientist,Ajah,Ward 2 Ajah,Street 1 Ward 2 Ajah,7337856.0,18749876.8,True,Tech,90.88,2023-10-04
7345,Kaitlin Lopez,42,Industrial buyer,Mushin,Ward 3 Mushin,Street 8 Ward 3 Mushin,2086651.5,5607368.47,False,Transport,45.38,2026-01-31
7346,Robert Morrison,39,Ergonomist,Ikorodu,Ward 5 Ikorodu,Street 9 Ward 5 Ikorodu,3955789.0,13769110.59,True,Manufacturing,83.94,2024-02-19
7347,Debbie Baker,62,Insurance underwriter,Surulere,Ward 4 Surulere,Street 7 Ward 4 Surulere,1072050.0,2153152.44,False,Finance,83.48,2025-10-11
7348,William Leblanc,25,"Teacher, English as a foreign language",Lekki,Ward 3 Lekki,Street 2 Ward 3 Lekki,2945908.0,10778699.81,False,Tech,54.27,2022-10-07
7349,Jodi Reese,55,"Engineer, manufacturing systems",Lekki,Ward 3 Lekki,Street 1 Ward 3 Lekki,2089224.0,6442869.41,True,Finance,47.65,2024-05-28
7350,Elizabeth Stewart,57,Radio broadcast assistant,Ifako-Ijaiye,Ward 3 Ifako-Ijaiye,Street 8 Ward 3 Ifako-Ijaiye,3291510.0,7857550.29,True,Tech,70.05,2024-06-02
7351,Nicholas Fitzgerald,46,Phytotherapist,Surulere,Ward 3 Surulere,Street 5 Ward 3 Surulere,7504468.0,17317219.13,False,Transport,53.57,2025-02-12
7352,Alyssa Hall,54,Diagnostic radiographer,Ajah,Ward 4 Ajah,Street 10 Ward 4 Ajah,678837.0,2077370.7,True,Real Estate,68.33,2023-03-31
7353,Thomas Shelton,29,Chiropractor,Amuwo-Odofin,Ward 4 Amuwo-Odofin,Street 9 Ward 4 Amuwo-Odofin,6964818.0,26134191.37,False,Retail,45.28,2021-08-13
7354,Jonathon Boyd,35,Health service manager,Kosofe,Ward 1 Kosofe,Street 3 Ward 1 Kosofe,6424492.5,22194030.9,False,Retail,94.27,2022-06-08
7355,Mark Johnson,21,Fish farm manager,Somolu,Ward 3 Somolu,Street 6 Ward 3 Somolu,4463515.5,6876343.82,True,Tech,53.15,2022-06-04
7356,Lisa Stokes,50,Banker,Kosofe,Ward 2 Kosofe,Street 1 Ward 2 Kosofe,1591927.5,2979479.12,True,Transport,54.77,2022-06-25
7357,Kristen Kim,70,Accounting technician,Lekki,Ward 4 Lekki,Street 2 Ward 4 Lekki,6764600.0,15577694.23,False,Tech,72.31,2025-09-13
7358,Kaitlyn Kelley,63,Claims inspector/assessor,Alimosho,Ward 1 Alimosho,Street 8 Ward 1 Alimosho,871364.0,2692701.57,False,Retail,78.94,2020-09-09
7359,Tammy Moore,46,IT technical support officer,Lekki,Ward 1 Lekki,Street 5 Ward 1 Lekki,3468148.0,8179473.05,True,Finance,57.48,2021-04-05
7360,Elizabeth Williams,64,Site engineer,Yaba,Ward 2 Yaba,Street 10 Ward 2 Yaba,1282064.0,4437330.37,True,Real Estate,76.65,2023-02-02
7361,Brandon Singh,23,Product designer,Epe,Ward 5 Epe,Street 5 Ward 5 Epe,7459792.5,25810525.64,True,Tech,89.62,2025-01-31
7362,David Peters,63,Writer,Agege,Ward 1 Agege,Street 10 Ward 1 Agege,3329877.0,6329290.25,False,Manufacturing,53.09,2026-03-12
7363,Deborah Miller,61,"Designer, industrial/product",Agege,Ward 1 Agege,Street 2 Ward 1 Agege,4738078.0,7244879.67,False,Retail,55.46,2023-03-15
7364,Michele Barrera,69,Race relations officer,Yaba,Ward 5 Yaba,Street 8 Ward 5 Yaba,2716004.0,6352174.59,False,Retail,66.47,2022-08-26
7365,George Casey,65,Facilities manager,Kosofe,Ward 4 Kosofe,Street 2 Ward 4 Kosofe,1218757.5,3617440.34,True,Hospitality,55.48,2020-05-11
